Date 	City 	State 	Shape 	Duration 	Summary 	Posted
7/27/16 21:30 	California City 	CA 	Chevron 	2 minutes 	Long slow moving craft with a bright light, hovered and vanished. ((NUFORC Note: Re-entering space debris. PD)) 	8/2/16
7/27/16 21:30 	Sacramento 	CA 	Light 	8 seconds 	Circular, bright,orange,neon,light. It looked as though it had a vapor trail behind it. It was going east bound then changed flight to 	8/2/16
7/27/16 21:30 	Rohnert Park 	CA 	Fireball 	30 seconds 	@ concert in Rohnert Park, CA, there was what appeared to be a fireball with a very large tail. ((NUFORC Note: Space debris. PD)) 	8/2/16
7/27/16 21:30 	Kingman 	AZ 	Other 	60 seconds 	Huge low flying craft over Kingman, AZ, possible crash landing. ((NUFORC Note: Space debris? PD)) 	8/2/16
7/27/16 21:30 	Boonville 	CA 	Fireball 	20 seconds 	white ball of flame in Mendocino county. ((NUFORC Note: Space debris. Re-entering Chinese rocket booster. PD)) 	8/2/16
7/27/16 21:30 	Prescott Valley 	AZ 	Formation 	10 minutes 	Round headlight appearing to be two crafts side by side, then veered toward the E. ((NUFORC Note: Space debris. PD)) 	8/2/16
7/27/16 21:30 	San Mateo 	CA 	Fireball 	4 minutes 	Fireball with long tail gliding through the sky very slowly and l low in the sky. ((NUFORC Note: Chinese rocket re-entry. PD)) 	8/2/16
7/27/16 21:30 	Fresno 	CA 	Rectangle 	20-30 seconds 	Approx. 9:30 I was walking at Woodward Pk in Fresno, in the SE. ((NUFORC Note: Re-entering space debris. PD)) 	8/2/16
7/27/16 21:30 	Pahrump 	NV 	Fireball 	6 minutes 	Long trail of sparks, the obj. traveled completely across the sky until it seemed to disappear. ((NUFORC Note: Space debris. PD)) 	8/2/16
7/27/16 21:15 	Whiting 	IN 	Triangle 	<15 seconds 	Triangle moving at high rate of speed 	8/2/16
7/27/16 21:00 	Thomaston 	CT 	Triangle 	5-10 minutes 	My husband and I brought the dog out around 9 pm and saw a large black / daek gray triangle with 3 red lights and 1 white light hoverin 	8/2/16
7/27/16 21:00 	Fresno 	CA 	Fireball 	3 minutes 	Big fire ball that broke in two smaller more dominant balls of fire with a more defined shape. 	8/2/16
7/27/16 21:00 	Austin 	TX 	Sphere 	2 seconds 	White light orb with long vapor trail. 	8/2/16
7/27/16 21:00 	Howell 	NJ 	Circle 	2:00 minutes 	Fireball couple hundred feet up. Flew out in the distance and went out. 	8/2/16
7/27/16 20:30 	Grand Canyon 	AZ 	Circle 	30 seconds 	Grand Canyon sighting. 	8/16/16
7/27/16 20:30 	Willits 	CA 	Other 	10 minutes 	Silvery orange, stationary object high in sky. 	8/2/16
7/27/16 20:03 	Biddeford 	ME 	Circle 	3 minutes 	Got out of work ,noticed a light come out from behind tree, high up about 40 degrees looking east , an orange ball shape thing travelin 	8/2/16
7/27/16 09:20 	Concord 	NH 	Changing 	2 minutes 	I was driving north on main st and was just before gibson bookstore. I noticed to the north west, perhaps above egal square that There 	8/2/16
7/27/16 08:00 	Plainville 	CT 	Triangle 	3-4 minutes 	Saw a irregular shaped object low flying in the distance with two red blinking lights one on top and on the bottom. 	8/2/16
7/27/16 06:00 	Las Vegas 	NV 	Light 	25 seconds 	At around 6:00 pm, I was on my balcony in central Las Vegas. I saw a light traveling east to west, go into a cloud, then come out to th 	8/2/16
7/27/16 05:30 	Garden City 	MI 	Light 	20 seconds 	Slow moving star. 	8/2/16
7/27/16 05:10 	Nampa 	ID 	Light 	5+ minutes 	Yellowish light moving through early morning sky - no sound, no strobes 	8/2/16
7/27/16 04:00 	Florence 	OR 	Light 	15 minutes 	At first glance I didn't noticeanythingother than a starrynight. Until a distantlight slowly whith no sound made its way across the sky 	8/2/16
7/27/16 03:33 	Air Ronge (Canada) 	SK 	Light 	2-3 minutes 	Around 3:33 am on July 27/16,I seen what looked like a bright star flying slow,from North to south,south/east.It took about 3 Minutes t 	8/2/16
7/27/16 03:33 	Puebla (Mexico) 	
	Other 	30 minutes 	Big objects almost rectangular. 	8/2/16
7/27/16 02:30 	Surprise/Glendale 	AZ 	Unknown 	3 seconds 	Bright flash of green light, streaked through the sky and left behind a faint purple glow that faded quickly 	8/2/16
7/27/16 00:40 	Pueblo 	CO 	Fireball 	2 minutes 	Three fireball/lights hovering inside of Pueblo, CO. 	8/2/16
7/26/16 23:30 	Attleboro 	MA 	Formation 	ongoing 	Perfectly seen from Route 118 South, in open fields. Triangle formations of red/white strobes sitting perfectly still. Occaisionally on 	8/2/16
7/26/16 23:30 	Grand Rapids 	MI 	
	
	Yellow bright orbs in vertical line formation SE Grand Rapids about 11:30 pm 	8/2/16
